ID,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
115,04-20-2020,Sylmar,34.307625200000004,-118.4492148,1.3177778840971963,2
116,04-20-2020,Tarzana,34.1714436,-118.5429789,0.4609901729475344,1
117,04-20-2020,Temple City,34.1082994,-118.0577568,-1.0,-1
118,04-20-2020,Torrance,33.83584920000001,-118.3406288,0.2898235134046466,1
119,04-20-2020,Tujunga,34.252225,-118.2884105,0.7351859517838858,1
120,04-20-2020,University Park,34.027449,-118.2839493,1.4531744224343848,2
121,04-20-2020,Valinda,34.0384785,-117.933559,0.38167938789558586,1
122,04-20-2020,Valley Glen,34.1826379,-118.4138666,0.6035864989590797,1
123,04-20-2020,Van Nuys,34.1866193,-118.4486669,1.2202584929126914,2
124,04-20-2020,Venice,33.995044,-118.4668875,0.2511374424660982,1
125,04-20-2020,Vermont Knolls,33.9668188,-118.29167,0.3880432142971755,1
126,04-20-2020,Vermont Vista,33.9419475,-118.2858138,1.5384764501424746,2
127,04-20-2020,Vernon Central,34.007135,-118.22525,1.7571044795668818,2
128,04-20-2020,Walnut,34.0202894,-117.8653386,0.0,0
129,04-20-2020,Watts,33.9405674,-118.2428485,1.1514296404736908,2
130,04-20-2020,West Adams,34.0294356,-118.3524833,0.7373308471126477,1
131,04-20-2020,West Covina,34.0686208,-117.93895259999998,0.4412298377438892,1
132,04-20-2020,West Hills,34.2032325,-118.645476,0.0,0
133,04-20-2020,West Hollywood,34.0923014,-118.3692894,0.7685083091621097,1
134,04-20-2020,West Vernon,34.007135,-118.22525,0.39240508029591603,1
135,04-20-2020,Westchester,33.9597349,-118.4006322,0.0,0
136,04-20-2020,Westlake,34.0629226,-118.2728204,1.3223391520754142,2
137,04-20-2020,Westwood,34.05612070000001,-118.4306347,0.14439058950592498,1
138,04-20-2020,Whittier,33.9708782,-118.0308396,0.028826211095909087,0
139,04-20-2020,Willowbrook,33.918786299999994,-118.2343933,0.20722811545815215,1
140,04-20-2020,Wilmington,33.7800164,-118.2625095,-1.0,-1
141,04-20-2020,Wilshire Center,34.0615146,-118.4327712,0.902580941065272,1
142,04-20-2020,Winnetka,34.2058826,-118.570934,1.025244012935101,2
143,04-20-2020,Woodland Hills,34.1684364,-118.6058382,0.3763639011134801,1
