ID,Time Stamp,Region,Latitude,Longitude,Density
79,04-17-2020,Los Feliz,34.1100408,-118.2889236,0.0003940701820228936
80,04-17-2020,Lynwood,33.924831,-118.2024154,0.0013159899707711699
81,04-17-2020,Manhattan Beach,33.8915985,-118.39512409999999,0.0010386108124851954
82,04-17-2020,Mar Vista,34.0037605,-118.43916409999999,0.0009309875629610177
83,04-17-2020,Maywood,33.9866807,-118.185349,0.0008439429012345679
84,04-17-2020,Melrose,34.0536909,-118.2427666,0.002936857562408223
85,04-17-2020,Miracle Mile,34.008544,-118.13341499999999,0.0006163961372508733
86,04-17-2020,Monrovia,34.1483499,-118.0014517,0.0005317169139150317
87,04-17-2020,Montebello,34.0159398,-118.111975,0.001082675620969387
88,04-17-2020,Monterey Park,34.051522,-118.129807,0.0006217175766103304
89,04-17-2020,Mt. Washington,34.0988396,-118.22110690000001,0.0004679457182966776
90,04-17-2020,North Hills,34.2429575,-118.4854081,0.0009684991546151447
91,04-17-2020,North Hollywood,34.1729044,-118.37403710000001,0.0010108751668274378
92,04-17-2020,Northridge,34.2345615,-118.53693159999999,0.0009888569109290828
93,04-17-2020,Norwalk,33.909280200000005,-118.0849169,0.0008868291566540795
94,04-17-2020,Pacoima,34.262502500000004,-118.427027,0.0009131848886665
95,04-17-2020,Palmdale,34.5793131,-118.1171108,0.0008203445447087777
96,04-17-2020,Palms,34.024732799999995,-118.4116152,0.001550044286979628
97,04-17-2020,Panorama City,34.2242902,-118.44537450000001,0.0010656913179049297
98,04-17-2020,Paramount,33.898917,-118.17100500000001,0.0009604268563806137
99,04-17-2020,Park La Brea,34.067401600000004,-118.35523629999999,0.0004073319755600815
100,04-17-2020,Pico Rivera,33.9830688,-118.09673500000001,0.0012021482545431835
101,04-17-2020,Playa Vista,33.9759574,-118.41818149999999,0.00040602391849992617
102,04-17-2020,Pomona,34.05538129999999,-117.75174960000001,0.00043282328080046853
103,04-17-2020,Porter Ranch,34.2818164,-118.56127140000001,0.0009937963018731557
104,04-17-2020,Rancho Palos Verdes,33.7483311,-118.3707683,0.001072061154097138
105,04-17-2020,Redondo Beach,33.8455911,-118.38867659999998,0.0012118414218939351
106,04-17-2020,Reseda,34.200078399999995,-118.53698840000001,0.0011747934211568413
107,04-17-2020,Rosemead,34.0676169,-118.08797630000001,0.00029060263721893283
108,04-17-2020,Rowland Heights,33.976123799999996,-117.9053395,0.0004521951123606551
109,04-17-2020,San Dimas,34.1066756,-117.8067257,0.0005243227497815321
110,04-17-2020,San Fernando,34.28497,-118.437652,0.0005986787778695293
111,04-17-2020,San Gabriel,34.0991325,-118.1086041,0.0003721068690928034
112,04-17-2020,San Pedro,33.7358518,-118.2922934,0.0008771380239333375
113,04-17-2020,Santa Clarita,34.3916641,-118.54258600000001,0.0008570542861831907
114,04-17-2020,Santa Monica,34.019470399999996,-118.4912273,0.0011454876351568355
115,04-17-2020,Sherman Oaks,34.1508718,-118.4489865,0.0010003883860793014
116,04-17-2020,Silverlake,34.08276970000001,-118.273646,0.0020376030378808927
117,04-17-2020,South El Monte,34.0519548,-118.04673390000002,0.0
118,04-17-2020,South Gate,33.9463456,-118.200981,0.0012332187008091118
119,04-17-2020,South Park,33.9959381,-118.2697608,0.0012278413015117794
120,04-17-2020,South Pasadena,34.113306200000004,-118.1478291,0.0005322789141510153
121,04-17-2020,South Whittier,33.9435081,-118.03478270000001,0.0005232115677321156
122,04-17-2020,Stevenson Ranch,34.3864721,-118.5826635,0.00047097609796302843
123,04-17-2020,Studio City,34.148398900000004,-118.39618770000001,0.0006690794075605973
124,04-17-2020,Sun Valley,34.2175042,-118.37035759999999,0.000869691259602841
125,04-17-2020,Sunland,34.266946600000004,-118.3023,0.0009619134277914988
126,04-17-2020,Sylmar,34.307625200000004,-118.44921480000001,0.0016676938694123189
127,04-17-2020,Tarzana,34.171443599999996,-118.54297890000001,0.0017203162735302876
128,04-17-2020,Temple City,34.1082994,-118.05775679999999,0.0006575522617058003
129,04-17-2020,Torrance,33.83584920000001,-118.34062879999999,0.0012339282549118525
130,04-17-2020,Tujunga,34.252225,-118.2884105,0.0008157185416371117
131,04-17-2020,University Park,34.027449,-118.2839493,0.0007624964699237504
132,04-17-2020,Valinda,34.0384785,-117.933559,0.00027281407720638383
133,04-17-2020,Valley Glen,34.182637899999996,-118.41386659999999,0.0007320644216691068
134,04-17-2020,Van Nuys,34.1866193,-118.4486669,0.0012169380546222107
135,04-17-2020,Venice,33.995044,-118.4668875,0.0009667213498945397
136,04-17-2020,Vermont Knolls,33.9668188,-118.29167,0.0006244739485759278
137,04-17-2020,Vermont Vista,33.9419475,-118.2858138,0.0007743463605721054
138,04-17-2020,Vernon Central,34.007135,-118.22525,0.0009238558045860203
139,04-17-2020,Walnut,34.020289399999996,-117.86533859999999,0.0004988858216649481
140,04-17-2020,Watts,33.9405674,-118.24284850000001,0.0008405519624553457
141,04-17-2020,West Adams,34.0294356,-118.35248329999999,0.002062515557768216
142,04-17-2020,West Covina,34.0686208,-117.93895259999998,0.0005200208008320333
143,04-17-2020,West Hills,34.2032325,-118.645476,0.0006258575451941362
144,04-17-2020,West Hollywood,34.0923014,-118.36928940000001,0.0029889937985362307
145,04-17-2020,West Vernon,34.007135,-118.22525,0.00145301905069422
146,04-17-2020,Westchester,33.9597349,-118.40063219999999,0.0008268042048899562
147,04-17-2020,Westlake,34.0629226,-118.27282040000001,0.0016529488949099398
148,04-17-2020,Westwood,34.05612070000001,-118.43063470000001,0.0006982598629205638
149,04-17-2020,Whittier,33.9708782,-118.0308396,0.0006456950301660648
150,04-17-2020,Willowbrook,33.918786299999994,-118.2343933,0.0005801137022856481
151,04-17-2020,Wilmington,33.7800164,-118.2625095,0.0007507114300179822
152,04-17-2020,Wilshire Center,34.0615146,-118.4327712,0.0011464547344694244
153,04-17-2020,Winnetka,34.2058826,-118.57093400000001,0.0011116490057913326
154,04-17-2020,Woodland Hills,34.1684364,-118.6058382,0.0012394837550160358
